"","Congruent","Incongruent","difference","diff_minus_pointEstimate_squared"
"1",12.079,19.278,-7.199,0.594441
"2",16.791,18.741,-1.95,36.2404
"3",9.564,21.214,-11.65,13.5424
"4",8.63,15.687,-7.057,0.833568999999999
"5",14.669,22.803,-8.134,0.0268960000000002
"6",12.238,20.878,-8.64,0.448900000000001
"7",14.692,24.572,-9.88,3.6481
"8",8.987,17.394,-8.407,0.190969
"9",9.401,20.762,-11.361,11.498881
"10",14.48,26.282,-11.802,14.684224
"11",22.328,24.524,-2.196,33.339076
"12",15.298,18.644,-3.346,21.381376
"13",15.073,17.51,-2.437,30.614089
"14",16.929,20.33,-3.401,20.875761
"15",18.2,35.255,-17.055,82.537225
"16",12.13,22.158,-10.028,4.235364
"17",18.495,25.139,-6.644,1.758276
"18",10.639,20.429,-9.79,3.3124
"19",11.344,17.425,-6.081,3.568321
"20",12.369,34.288,-21.919,194.574601
"21",12.944,23.894,-10.95,8.8804
"22",14.233,17.96,-3.727,18.003049
"23",19.71,22.058,-2.348,31.606884
"24",16.004,21.157,-5.153,7.935489
